GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,849993,889961,16,2,385,-0.00080387,0.50032,5.84244007697093,0.0984
26155,1,869583,904679,9,1,385,0.51436,0.3035,-1.92107015472796,0.5204
339451,1,885967,911099,7,1,384,0.54185,0.29396,-3.04938083079648,0.5944
84069,1,891872,920488,10,2,521,0.0881,0.4649,1.69438644887567,0.2344
84808,1,900579,927473,19,2,458,0.89737,0.18476,1.364919004862,0.2304
57801,1,924342,946608,27,2,386,0.92142,0.17842,-0.510835308919697,0.448
9636,1,938847,959920,8,1,385,0.86987,0.19218,1.71236686175768,0.2
375790,1,945503,1001499,20,4,380,0.14602,0.44195,2.29567027162625,0.2808
401934,1,997126,1019687,35,4,504,-0.76301,0.77727,4.49968198544896,0.2084
54991,1,1007198,1061736,117,6,795,-0.22374,0.58852,1.00572513257871,0.2688
254173,1,1099286,1143315,95,8,781,1.8756,0.030358,2.72460178369584,0.1196
8784,1,1128888,1152163,54,7,787,1.9436,0.025971,-0.0691466815776737,0.384
7293,1,1136706,1159703,52,3,820,1.7838,0.037232,0.733109926356939,0.1216
51150,1,1142288,1177447,103,3,877,1.7673,0.038591,2.60521895465681,0.1136
126792,1,1157629,1180421,87,3,876,1.7849,0.037137,-2.23475285396297,0.5664
388581,1,1167826,1192102,42,3,907,1.5251,0.063611,0.77288924597749,0.174
118424,1,1179292,1219234,37,5,802,1.0775,0.14063,0.582180396288769,0.4212
6339,1,1205816,1237409,18,3,623,-0.38924,0.65145,-0.156776899463034,0.4376
116983,1,1217764,1253304,20,3,493,0.40054,0.34438,0.235792036779417,0.3612
126789,1,1233962,1257057,20,3,493,0.44545,0.328,1.20085154373582,0.2252
54973,1,1236965,1270067,33,4,467,0.23916,0.40549,1.63926133143433,0.2348
80772,1,1250136,1274276,21,2,437,0.054168,0.4784,1.18759088854835,0.144
83756,1,1256726,1279844,21,2,537,0.0048828,0.49805,6.1703699773097,0.1292
1855,1,1260658,1294509,31,2,690,-0.17676,0.57015,-3.91879827858463,0.6224
54587,1,1278071,1307183,70,4,879,0.86159,0.19446,4.29931121144934,0.1836
54998,1,1299110,1320818,74,4,885,1.0587,0.14486,0.593770390956436,0.3072
81669,1,1311091,1344718,43,4,773,0.83731,0.20121,1.1631141556364,0.1092
55052,1,1327276,1352693,32,3,735,0.48572,0.31358,-4.64084003911289,0.7032
441869,1,1343800,1366824,43,2,719,-0.07013,0.52795,2.47312152455509,0.1372
643965,1,1351508,1373167,30,3,634,0.085473,0.46594,-1.0657043240818,0.4472
64856,1,1360903,1388262,6,1,382,1.1454,0.12602,2.91085965798586,0.1748
83858,1,1397139,1454852,36,3,665,1.8644,0.031133,0.596340099108128,0.246
55210,1,1437523,1480067,20,4,706,1.7057,0.044028,1.46289666054055,0.102
339453,1,1460158,1485740,15,1,887,1.1579,0.12344,2.8483580790963,0.2664
29101,1,1467053,1520262,56,2,824,1.3774,0.084198,0.270091081095561,0.2668
9906,1,1646277,1687438,15,2,524,0.26229,0.39655,1.40898683324688,0.104
65220,1,1672671,1721508,65,7,755,1.02,0.15386,3.31801994435099,0.2652
2782,1,1706725,1832552,127,11,879,1.2812,0.10006,2.5401689198121,0.32
163688,1,1836266,1858733,36,3,460,0.37063,0.35545,2.51278792640287,0.1276
85452,1,1843390,1945276,154,10,546,0.20367,0.41931,-0.0380676097582328,0.3932
2563,1,1940768,1972192,17,1,603,-0.75829,0.77586,0.799235434504439,0.3836
5590,1,1971909,2126834,305,16,843,0.76989,0.22068,5.74345004265926,0.1284
199990,1,2105899,2154159,62,11,787,-1.0976,0.86381,0.837151383123284,0.308
6497,1,2150134,2251652,180,26,763,-0.83033,0.79683,5.97228900018424,0.0996
79906,1,2241719,2333190,245,34,696,-1.5303,0.93703,4.69300980240929,0.1296
11079,1,2313214,2346883,56,12,791,-0.039247,0.51565,-0.0338348719774996,0.4504
5192,1,2326241,2354010,33,6,811,0.49097,0.31172,6.28626925171627,0.1108
9651,1,2397754,2446964,71,8,706,-1.0031,0.84209,3.68190829913906,0.0652
55229,1,2429975,2468061,62,5,763,-0.64151,0.7394,0.849116416636582,0.238
388585,1,2450184,2471684,25,4,600,-0.46802,0.68011,1.77299801995133,0.1856
127281,1,2507899,2532908,62,4,913,-0.37703,0.64693,1.69459609077382,0.0676
79258,1,2512078,2574499,143,4,904,-0.12344,0.54912,1.78417204553137,0.2432
100287898,1,2562807,2716230,117,9,856,0.1859,0.42626,3.78951214130023,0.2824
63976,1,2975565,3365185,830,95,758,-0.31309,0.62289,-0.218688026660706,0.3216
27237,1,3361147,3407677,80,6,926,0.1151,0.45418,2.87190039461213,0.2636
1953,1,3394506,3538059,283,38,676,-0.68186,0.75234,1.34593692238462,0.1832
127262,1,3531556,3556695,39,5,580,-0.4456,0.67206,3.24351167988215,0.2324
49856,1,3537331,3576671,35,4,633,-0.51609,0.6971,-1.50219409209409,0.4812
7161,1,3559129,3662765,134,22,702,0.31968,0.37461,-1.05725482734239,0.4588
148870,1,3658965,3698209,113,15,812,0.41221,0.34009,-1.81294442234426,0.5184
388588,1,3679352,3702546,82,8,771,-1.2457,0.89356,0.164910085695107,0.1812
57470,1,3686784,3723068,125,13,796,-1.5437,0.93867,-2.48705482077502,0.5756
9731,1,3718645,3783797,274,10,857,-0.25364,0.60011,1.91843378646414,0.2132
1677,1,3763845,3811993,217,22,825,-0.62749,0.73483,-1.83920567810948,0.508
339448,1,3795697,3826857,95,9,865,0.5192,0.30181,-0.478240320721115,0.3548
55966,1,4705105,4853851,461,65,802,1.0317,0.1511,1.83407290165814,0.2692
261734,1,5912870,6062618,334,12,896,-0.27153,0.60701,1.34097303613499,0.3352
8514,1,6042358,6171253,194,30,775,0.46134,0.32228,0.877214233852391,0.3236
26038,1,6151847,6250194,236,27,800,1.6778,0.046691,5.52006359376033,0.0912
6146,1,6235080,6269679,34,6,591,-1.5387,0.93806,1.53673697181876,0.3372
388591,1,6256189,6291359,25,4,637,1.2051,0.11409,3.88572150543073,0.2068
23463,1,6271253,6306044,24,4,656,1.4574,0.072506,-2.21686931330894,0.5488
390992,1,6294252,6315638,25,3,554,-0.50127,0.69191,5.48512044984636,0.1208
387509,1,6297406,6331035,44,2,684,-0.76085,0.77663,1.93480127969175,0.2492
11332,1,6314332,6463826,297,15,826,-0.8925,0.81394,-0.4047307568901,0.4352
54626,1,6465292,6494724,74,6,892,-0.071185,0.52837,0.242056705835405,0.3756
83715,1,6474836,6531004,113,9,739,-0.3506,0.63705,7.42913248290718,0.118
8718,1,6510787,6537432,35,5,566,-0.13104,0.55213,3.2406663818823,0.1528
