GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,849993,889961,16,2,385,0.35587,0.36097,0.859048930127652,0.233333333333333
26155,1,869583,904679,9,1,385,1.7959,0.036252,2.28370590783989,0.0318518518518518
339451,1,885967,911099,7,1,384,1.8483,0.032279,2.71011018441613,0.0248148148148148
84069,1,891872,920488,10,2,521,1.0206,0.15373,0.166613952734914,0.241481481481481
84808,1,900579,927473,19,2,458,0.80716,0.20979,-0.314283688235976,0.322592592592593
57801,1,924342,946608,27,2,386,1.1316,0.12889,-0.0706724766216558,0.395555555555556
375790,1,945503,1001499,20,4,380,0.43292,0.33253,-2.73628877892129,0.686666666666667
401934,1,997126,1019687,35,4,504,-0.61724,0.73146,2.2094380757763,0.148888888888889
54991,1,1007198,1061736,117,6,795,-1.369,0.91451,-0.723997554770083,0.443703703703704
254173,1,1099286,1143315,95,8,781,0.88258,0.18873,-0.397308043065004,0.388888888888889
8784,1,1128888,1152163,54,7,787,0.7672,0.22148,-1.845437858411,0.61037037037037
7293,1,1136706,1159703,52,3,820,1.1798,0.11903,-3.92758710042448,0.75962962962963
51150,1,1142288,1177447,103,3,877,1.2435,0.10684,1.77979701819295,0.189259259259259
126792,1,1157629,1180421,87,3,876,1.2319,0.10899,2.90977478172417,0.0837037037037037
388581,1,1167826,1192102,42,3,907,0.74541,0.22801,1.93306855544984,0.115925925925926
118424,1,1179292,1219234,37,5,802,0.43505,0.33176,2.62404931653031,0.13037037037037
6339,1,1205816,1237409,18,3,623,-0.11567,0.54604,-0.271403388723467,0.298518518518519
116983,1,1217764,1253304,20,3,493,-0.83328,0.79766,4.26915872999911,0.05
126789,1,1233962,1257057,20,3,493,-0.83314,0.79762,-0.597231418741077,0.388518518518519
54973,1,1236965,1270067,33,4,467,-1.06,0.85542,1.57995016801554,0.227407407407407
80772,1,1250136,1274276,21,2,437,-1.1745,0.87991,-0.218240572403937,0.302592592592593
83756,1,1256726,1279844,21,2,537,-1.0062,0.84284,0.471286879921727,0.284814814814815
1855,1,1260658,1294509,31,2,690,-0.62042,0.73251,2.08652243308305,0.206296296296296
54587,1,1278071,1307183,70,4,879,-0.54132,0.70586,1.31763984964809,0.245555555555556
54998,1,1299110,1320818,74,4,885,-0.36229,0.64143,3.96029030690158,0.111851851851852
81669,1,1311091,1344718,43,4,773,-0.066045,0.52633,2.26669416132043,0.0755555555555555
55052,1,1327276,1352693,32,3,735,0.15683,0.43769,1.17972563166476,0.256666666666667
441869,1,1343800,1366824,43,2,719,-0.0083739,0.50334,2.10451168453291,0.112592592592593
643965,1,1351508,1373167,30,3,634,-0.24045,0.59501,1.06299202353533,0.211481481481481
64856,1,1360903,1388262,6,1,382,-1.9133,0.97215,-0.0582942800254132,0.357037037037037
219293,1,1368152,1415538,8,1,515,1.0454,0.14792,1.15861711168194,0.142222222222222
83858,1,1397139,1454852,36,3,665,1.6764,0.046831,-1.28550801836172,0.511111111111111
55210,1,1437523,1480067,20,4,706,0.84147,0.20004,0.0307341255793903,0.395925925925926
339453,1,1460158,1485740,15,1,887,0.55964,0.28786,2.17496086967871,0.128148148148148
29101,1,1467053,1520262,56,2,824,0.52613,0.2994,0.929713720097913,0.212222222222222
9906,1,1646277,1687438,15,2,524,-0.38269,0.64903,-0.119289311756436,0.242962962962963
