GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,849993,889961,16,2,385,1.2198,0.11127,1.1389411712576,0.162272727272727
26155,1,869583,904679,9,1,385,0.2929,0.3848,3.45829545985801,0.0402272727272727
339451,1,885967,911099,7,1,384,0.2986,0.38262,2.09385271360123,0.137727272727273
84069,1,891872,920488,10,2,521,-0.094607,0.53769,0.4449316087924,0.269545454545455
84808,1,900579,927473,19,2,458,-0.053132,0.52119,0.79391123493608,0.121590909090909
57801,1,924342,946608,27,2,386,0.43422,0.33207,1.32139677769997,0.0859090909090909
9636,1,938847,959920,8,1,385,0.22296,0.41178,1.8699780484171,0.0538636363636363
375790,1,945503,1001499,20,4,380,0.43663,0.33119,0.683204921861788,0.321136363636364
401934,1,997126,1019687,35,4,504,0.29854,0.38264,-2.91630410204246,0.696818181818182
54991,1,1007198,1061736,117,6,795,-0.93731,0.8257,1.00885553553081,0.0868181818181818
254173,1,1099286,1143315,95,8,781,-0.62025,0.73245,0.910258159932255,0.205909090909091
8784,1,1128888,1152163,54,7,787,-0.52586,0.70051,-2.25681608784408,0.702272727272727
7293,1,1136706,1159703,52,3,820,-0.46073,0.6775,-0.118714335679031,0.335454545454546
51150,1,1142288,1177447,103,3,877,-0.22384,0.58856,1.64515515128647,0.110227272727273
126792,1,1157629,1180421,87,3,876,-0.026444,0.51055,0.308578159892472,0.355681818181818
388581,1,1167826,1192102,42,3,907,0.26296,0.39629,0.534195936501211,0.175227272727273
118424,1,1179292,1219234,37,5,802,-0.18344,0.57277,-0.495927606038111,0.448636363636364
6339,1,1205816,1237409,18,3,623,-0.81804,0.79333,0.459813361778418,0.190454545454545
116983,1,1217764,1253304,20,3,493,-0.12779,0.55084,-1.34271657492307,0.582272727272727
126789,1,1233962,1257057,20,3,493,0.10927,0.45649,0.86814057232241,0.149772727272727
54973,1,1236965,1270067,33,4,467,0.20547,0.4186,1.01509266013323,0.130227272727273
80772,1,1250136,1274276,21,2,437,0.33223,0.36986,0.669094416397716,0.145681818181818
83756,1,1256726,1279844,21,2,537,0.21959,0.4131,-3.62573323935215,0.756590909090909
1855,1,1260658,1294509,31,2,690,0.030125,0.48798,1.25010493266583,0.179772727272727
54587,1,1278071,1307183,70,4,879,-0.049677,0.51981,1.74472976699323,0.223863636363636
54998,1,1299110,1320818,74,4,885,-0.12992,0.55169,1.70706661841673,0.226363636363636
81669,1,1311091,1344718,43,4,773,-0.51831,0.69788,-2.39412935329572,0.711363636363636
55052,1,1327276,1352693,32,3,735,-0.83884,0.79922,1.55170882328848,0.192045454545455
