GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     16       2  385       1.2951     0.097642
26155        1     869583     904679      9       1  385       2.5444    0.0054731
339451       1     885967     911099      7       1  384       2.5521    0.0053534
84069        1     891872     920488     10       2  521       1.8353     0.033227
84808        1     900579     927473     19       2  458      0.35396      0.36168
57801        1     924342     946608     27       2  386      0.65954      0.25477
9636         1     938847     959920      8       1  385     -0.40023      0.65551
375790       1     945503    1001499     20       4  380     -0.23281      0.59204
401934       1     997126    1019687     35       4  504       1.3016     0.096518
54991        1    1007198    1061736    117       6  795     -0.35172      0.63747
254173       1    1099286    1143315     95       8  781      -1.4427      0.92545
8784         1    1128888    1152163     54       7  787      -1.6603      0.95157
7293         1    1136706    1159703     52       3  820     0.042806      0.48293
51150        1    1142288    1177447    103       3  877      0.16941      0.43274
126792       1    1157629    1180421     87       3  876      0.14646      0.44178
388581       1    1167826    1192102     42       3  907       0.1712      0.43203
118424       1    1179292    1219234     37       5  802     0.076307      0.46959
6339         1    1205816    1237409     18       3  623      -0.1292       0.5514
116983       1    1217764    1253304     20       3  493    -0.051228      0.52043
126789       1    1233962    1257057     20       3  493     -0.10425      0.54152
54973        1    1236965    1270067     33       4  467     -0.23897      0.59443
80772        1    1250136    1274276     21       2  437     -0.37517      0.64623
83756        1    1256726    1279844     21       2  537     -0.28487      0.61213
1855         1    1260658    1294509     31       2  690     -0.31256      0.62269
54587        1    1278071    1307183     70       4  879      0.57497      0.28266
54998        1    1299110    1320818     74       4  885       0.8731      0.19131
81669        1    1311091    1344718     43       4  773      0.40801      0.34163
55052        1    1327276    1352693     32       3  735     -0.30374      0.61934
441869       1    1343800    1366824     43       2  719     -0.83173      0.79722
643965       1    1351508    1373167     30       3  634     -0.82516      0.79536
64856        1    1360903    1388262      6       1  382     -0.53146      0.70245
219293       1    1368152    1415538      8       1  515      0.76334      0.22263
83858        1    1397139    1454852     36       3  665      0.56211      0.28702
55210        1    1437523    1480067     20       4  706       1.3697     0.085388
339453       1    1460158    1485740     15       1  887       1.2343      0.10855
29101        1    1467053    1520262     56       2  824      0.98908      0.16131
9906         1    1646277    1687438     15       2  524      -0.2512      0.59917
65220        1    1672671    1721508     65       7  755      0.60334      0.27314
2782         1    1706725    1832552    127      11  879      0.79274      0.21396
163688       1    1836266    1858733     36       3  460    -0.046958      0.51873
339456       1    1839029    1860740     38       3  484    -0.023751      0.50947
85452        1    1843390    1945276    154      10  546     -0.24769      0.59781
2563         1    1940768    1972192     17       1  603      0.77408      0.21944
5590         1    1971909    2126834    305      16  843      0.18672      0.42594
100506504    1    2103250    2125812     25       5  835      0.26439      0.39574
199990       1    2105899    2154159     62      11  787      0.87222      0.19154
6497         1    2150134    2251652    180      26  763     -0.46151      0.67778
79906        1    2241719    2333190    245      34  696     -0.20352      0.58064
11079        1    2313214    2346883     56      12  791     -0.66231      0.74611
5192         1    2326241    2354010     33       6  811      -1.1058      0.86559
9651         1    2397754    2446964     71       8  706       1.1433      0.12646
55229        1    2429975    2468061     62       5  763       1.4566      0.07261
388585       1    2450184    2471684     25       4  600      0.95038      0.17096
8764         1    2477291    2505268     42       2  882     -0.79672      0.78719
127281       1    2507899    2532908     62       4  913      0.18082      0.42825
79258        1    2512078    2574499    143       4  904      0.36379      0.35801
100287898    1    2562807    2716230    117       9  856       2.0847     0.018548
140625       1    2928046    2949467     40       2  895      0.58596      0.27895
63976        1    2975565    3365185    830      95  758     -0.87597      0.80948
27237        1    3361147    3407677     80       6  926      0.29172      0.38525
1953         1    3394506    3538059    283      38  676      0.79927      0.21207
127262       1    3531556    3556695     39       5  580       -1.288      0.90113
49856        1    3537331    3576671     35       4  633      -1.2723      0.89837
7161         1    3559129    3662765    134      22  702       1.1287      0.12952
148870       1    3658965    3698209    113      15  812       2.2425     0.012464
388588       1    3679352    3702546     82       8  771       0.5252      0.29972
57470        1    3686784    3723068    125      13  796      0.10754      0.45718
9731         1    3718645    3783797    274      10  857     -0.73741      0.76956
1677         1    3763845    3811993    217      22  825     -0.75498      0.77487
339448       1    3795697    3826857     95       9  865      -0.2006      0.57949
55966        1    4705105    4853851    461      65  802      -1.5349       0.9376
261734       1    5912870    6062618    334      12  896       0.6769      0.24923
8514         1    6042358    6171253    194      30  775     -0.48466      0.68604
26038        1    6151847    6250194    236      27  800     -0.20599       0.5816
6146         1    6235080    6269679     34       6  591    -0.089102       0.5355
388591       1    6256189    6291359     25       4  637       1.1217        0.131
23463        1    6271253    6306044     24       4  656       1.6701     0.047453
390992       1    6294252    6315638     25       3  554       2.0319     0.021083
387509       1    6297406    6331035     44       2  684       2.1391     0.016214
11332        1    6314332    6463826    297      15  826      0.86574      0.19332
