GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     16       2  385       1.2198      0.11127
26155        1     869583     904679      9       1  385       0.2929       0.3848
339451       1     885967     911099      7       1  384       0.2986      0.38262
84069        1     891872     920488     10       2  521    -0.094607      0.53769
84808        1     900579     927473     19       2  458    -0.053132      0.52119
57801        1     924342     946608     27       2  386      0.43422      0.33207
9636         1     938847     959920      8       1  385      0.22296      0.41178
375790       1     945503    1001499     20       4  380      0.43663      0.33119
401934       1     997126    1019687     35       4  504      0.29854      0.38264
54991        1    1007198    1061736    117       6  795     -0.93731       0.8257
254173       1    1099286    1143315     95       8  781     -0.62025      0.73245
8784         1    1128888    1152163     54       7  787     -0.52586      0.70051
7293         1    1136706    1159703     52       3  820     -0.46073       0.6775
51150        1    1142288    1177447    103       3  877     -0.22384      0.58856
126792       1    1157629    1180421     87       3  876    -0.026444      0.51055
388581       1    1167826    1192102     42       3  907      0.26296      0.39629
118424       1    1179292    1219234     37       5  802     -0.18344      0.57277
6339         1    1205816    1237409     18       3  623     -0.81804      0.79333
116983       1    1217764    1253304     20       3  493     -0.12779      0.55084
126789       1    1233962    1257057     20       3  493      0.10927      0.45649
54973        1    1236965    1270067     33       4  467      0.20547       0.4186
80772        1    1250136    1274276     21       2  437      0.33223      0.36986
83756        1    1256726    1279844     21       2  537      0.21959       0.4131
1855         1    1260658    1294509     31       2  690     0.030125      0.48798
54587        1    1278071    1307183     70       4  879    -0.049677      0.51981
54998        1    1299110    1320818     74       4  885     -0.12992      0.55169
81669        1    1311091    1344718     43       4  773     -0.51831      0.69788
55052        1    1327276    1352693     32       3  735     -0.83884      0.79922
441869       1    1343800    1366824     43       2  719      -1.1908      0.88314
643965       1    1351508    1373167     30       3  634      -1.1806      0.88112
64856        1    1360903    1388262      6       1  382     -0.46799       0.6801
219293       1    1368152    1415538      8       1  515      -1.2048      0.88586
83858        1    1397139    1454852     36       3  665     -0.74463      0.77175
55210        1    1437523    1480067     20       4  706      -1.0749       0.8588
339453       1    1460158    1485740     15       1  887    -0.003882      0.50155
29101        1    1467053    1520262     56       2  824    -0.010482      0.50418
9906         1    1646277    1687438     15       2  524        0.625      0.26599
65220        1    1672671    1721508     65       7  755      0.78919        0.215
2782         1    1706725    1832552    127      11  879       1.1656      0.12189
163688       1    1836266    1858733     36       3  460    -0.078071      0.53111
339456       1    1839029    1860740     38       3  484     -0.14467      0.55752
85452        1    1843390    1945276    154      10  546       1.7118     0.043467
2563         1    1940768    1972192     17       1  603      0.69443      0.24371
5590         1    1971909    2126834    305      16  843      0.40319       0.3434
100506504    1    2103250    2125812     25       5  835    -0.022543      0.50899
199990       1    2105899    2154159     62      11  787      -0.8842       0.8117
6497         1    2150134    2251652    180      26  763     0.037161      0.48518
79906        1    2241719    2333190    245      34  696      0.61904      0.26795
11079        1    2313214    2346883     56      12  791     -0.71672      0.76323
5192         1    2326241    2354010     33       6  811      -1.5204       0.9358
9651         1    2397754    2446964     71       8  706      0.37663      0.35322
55229        1    2429975    2468061     62       5  763      0.50789      0.30576
388585       1    2450184    2471684     25       4  600      -0.2506      0.59894
8764         1    2477291    2505268     42       2  882       0.8376      0.20113
127281       1    2507899    2532908     62       4  913      0.30917       0.3786
79258        1    2512078    2574499    143       4  904      0.40358      0.34326
100287898    1    2562807    2716230    117       9  856       0.1623      0.43554
140625       1    2928046    2949467     40       2  895     -0.49893      0.69109
63976        1    2975565    3365185    830      95  758       0.1235      0.45085
27237        1    3361147    3407677     80       6  926     -0.18985      0.57529
1953         1    3394506    3538059    283      38  676     -0.47993      0.68436
127262       1    3531556    3556695     39       5  580       1.5763     0.057476
49856        1    3537331    3576671     35       4  633       1.8438     0.032608
7161         1    3559129    3662765    134      22  702      0.75423      0.22535
148870       1    3658965    3698209    113      15  812       0.4164      0.33856
388588       1    3679352    3702546     82       8  771      0.66497      0.25304
57470        1    3686784    3723068    125      13  796       0.6822      0.24755
9731         1    3718645    3783797    274      10  857     -0.52302      0.69952
1677         1    3763845    3811993    217      22  825     -0.24023      0.59492
339448       1    3795697    3826857     95       9  865      0.23024      0.40895
55966        1    4705105    4853851    461      65  802   -0.0016417      0.50065
261734       1    5912870    6062618    334      12  896     -0.50002      0.69147
8514         1    6042358    6171253    194      30  775     -0.41903       0.6624
26038        1    6151847    6250194    236      27  800      -1.0369      0.85012
6146         1    6235080    6269679     34       6  591     -0.63754      0.73811
388591       1    6256189    6291359     25       4  637      -0.3402      0.63315
23463        1    6271253    6306044     24       4  656     -0.17999      0.57142
390992       1    6294252    6315638     25       3  554     -0.43738      0.66908
387509       1    6297406    6331035     44       2  684     -0.72189      0.76482
11332        1    6314332    6463826    297      15  826     -0.90526      0.81734
54626        1    6465292    6494724     74       6  892      0.10427      0.45848
83715        1    6474836    6531004    113       9  739     0.056958      0.47729
8718         1    6510787    6537432     35       5  566       0.3297      0.37081
57449        1    6516152    6590121    135      16  717     -0.83255      0.79745
79707        1    6571407    6624658    148       3  908     -0.88423      0.81172
80835        1    6604987    6649817     72       4  830     -0.65382      0.74339
3104         1    6630051    6659340     30       7  728     -0.69013      0.75495
9903         1    6640784    6672958     27       4  850      -1.0025      0.84195
148479       1    6663756    6694093     38       5  916      -1.3288      0.90805
90326        1    6674925    6705646     50       6  908      -1.5376      0.93793
55735        1    6684228    6771966    141      10  903      -2.0225      0.97844
23261        1    6835384    7839766   1994     152  864        -1.14      0.87285
9341         1    7821329    7851492     73      13  924      -0.1241      0.54938
8863         1    7834413    7915241    223      22  909     -0.59942      0.72555
10911        1    7897672    7923551     79      14  849     -0.69752      0.75726
3604         1    7965931    8013225     35       5  824       1.8296     0.033654
11315        1    8011714    8055342     61       6  874    -0.086936      0.53464
54206        1    8061779    8096393     40       4  931      -0.6691      0.74829
50651        1    8368171    8414227     99      12  759      0.25991      0.39747
473          1    8402464    8887699    527      15  901     -0.77629      0.78121
2023         1    8911059    8949151     52       5  906     -0.43182      0.66706
765          1    8995893    9045151    107      21  737      0.73867      0.23005
155184       1    9053359    9096404    105      19  772     -0.25017      0.59877
6518         1    9087005    9141763    129      13  809    -0.097911        0.539
80045        1    9153472    9199229     85       8  885      0.31345      0.37697
9563         1    9284822    9341396    159      19  644      -1.2519      0.89469
80176        1    9325202    9439591    354      48  593       -1.269      0.89777
84275        1    9589528    9652831     57       3  868      0.08774      0.46504
199953       1    9638932    9684935     40       3  841     -0.61098       0.7294
5293         1    9701789    9799172    106      16  572     -0.24413      0.59644
22883        1    9779079    9894550     97       6  808      0.85544      0.19616
56998        1    9898334    9980316     49       4  766      -1.0006      0.84148
84328        1    9972168   10013460     59       6  783     -0.41386      0.66051
64802        1    9993486   10055556     70       7  786     -0.52549      0.70038
116362       1   10047255   10086078     27       3  871    -0.092035      0.53666
10277        1   10083041   10251297     80      10  848      0.83978      0.20052
23095        1   10260606   10451664    280       5  911       1.3608     0.086782
5226         1   10448884   10490565     73       7  886      0.78569      0.21602
378708       1   10479944   10520239     77       6  899     -0.73938      0.77016
100526739    1   10480159   10522060     77       6  899     -0.73938      0.77016
1325         1   10499776   10522060     27       3  928     -0.17248      0.56847
1676         1   10510588   10542613     41       7  874      -0.8786      0.81019
5195         1   10525003   10700815    298      16  868      -1.8693      0.96921
54897        1   10686661   10866733    173      32  658      0.27956      0.38991
148345       1   10996530   11052094    130      12  799     -0.96021      0.83153
23435        1   11062462   11095549     53       3  904       -0.525      0.70021
10747        1   11076580   11117296     41       2  767     -0.50778       0.6942
6723         1   11104649   11130091     37       2  825     -0.73371      0.76844
5394         1   11116675   11169961     48       1  897     -0.83356      0.79774
2475         1   11156588   11332614    126       2  910     -0.80374      0.78923
10218        1   11239346   11266038      9       1  926     -0.86902      0.80758
29914        1   11323255   11358491     10       2  773    -0.070877      0.52825
57540        1   11529295   11607640    162      12  913       1.0293      0.15167
26232        1   11697924   11724888     36      10  671       -1.572      0.94203
93611        1   11704432   11733384     44       9  522      -1.4394      0.92498
26270        1   11714150   11744411     59      10  530      -1.2295      0.89055
10459        1   11724537   11761678     65      13  507     -0.65067      0.74237
374946       1   11741781   11790336     69      12  569     -0.12989      0.55167
57085        1   11786142   11820828     45       6  663       1.0329      0.15083
