GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     16       2  385  -0.00080387      0.50032
26155        1     869583     904679      9       1  385      0.51436       0.3035
339451       1     885967     911099      7       1  384      0.54185      0.29396
84069        1     891872     920488     10       2  521       0.0881       0.4649
84808        1     900579     927473     19       2  458      0.89737      0.18476
57801        1     924342     946608     27       2  386      0.92142      0.17842
9636         1     938847     959920      8       1  385      0.86987      0.19218
375790       1     945503    1001499     20       4  380      0.14602      0.44195
401934       1     997126    1019687     35       4  504     -0.76301      0.77727
54991        1    1007198    1061736    117       6  795     -0.22374      0.58852
254173       1    1099286    1143315     95       8  781       1.8756     0.030358
8784         1    1128888    1152163     54       7  787       1.9436     0.025971
7293         1    1136706    1159703     52       3  820       1.7838     0.037232
51150        1    1142288    1177447    103       3  877       1.7673     0.038591
126792       1    1157629    1180421     87       3  876       1.7849     0.037137
388581       1    1167826    1192102     42       3  907       1.5251     0.063611
118424       1    1179292    1219234     37       5  802       1.0775      0.14063
6339         1    1205816    1237409     18       3  623     -0.38924      0.65145
116983       1    1217764    1253304     20       3  493      0.40054      0.34438
126789       1    1233962    1257057     20       3  493      0.44545        0.328
54973        1    1236965    1270067     33       4  467      0.23916      0.40549
80772        1    1250136    1274276     21       2  437     0.054168       0.4784
83756        1    1256726    1279844     21       2  537    0.0048828      0.49805
1855         1    1260658    1294509     31       2  690     -0.17676      0.57015
54587        1    1278071    1307183     70       4  879      0.86159      0.19446
54998        1    1299110    1320818     74       4  885       1.0587      0.14486
81669        1    1311091    1344718     43       4  773      0.83731      0.20121
55052        1    1327276    1352693     32       3  735      0.48572      0.31358
441869       1    1343800    1366824     43       2  719     -0.07013      0.52795
643965       1    1351508    1373167     30       3  634     0.085473      0.46594
64856        1    1360903    1388262      6       1  382       1.1454      0.12602
219293       1    1368152    1415538      8       1  515      0.86611      0.19321
83858        1    1397139    1454852     36       3  665       1.8644     0.031133
55210        1    1437523    1480067     20       4  706       1.7057     0.044028
339453       1    1460158    1485740     15       1  887       1.1579      0.12344
29101        1    1467053    1520262     56       2  824       1.3774     0.084198
9906         1    1646277    1687438     15       2  524      0.26229      0.39655
65220        1    1672671    1721508     65       7  755         1.02      0.15386
2782         1    1706725    1832552    127      11  879       1.2812      0.10006
163688       1    1836266    1858733     36       3  460      0.37063      0.35545
339456       1    1839029    1860740     38       3  484      0.54323      0.29349
